"CLDR Short Name";"Code";"Browser"
"woman pouting: light skin tone";"U+1F64E U+1F3FB U+200D U+2640 U+FE0F";"🙎🏻
♀️"
"woman pouting: medium-light skin tone";"U+1F64E U+1F3FC U+200D U+2640 U+FE0F";"🙎🏼
♀️"
"woman pouting: medium skin tone";"U+1F64E U+1F3FD U+200D U+2640 U+FE0F";"🙎🏽
♀️"
"woman pouting: medium-dark skin tone";"U+1F64E U+1F3FE U+200D U+2640 U+FE0F";"🙎🏾
♀️"
"woman pouting: dark skin tone";"U+1F64E U+1F3FF U+200D U+2640 U+FE0F";"🙎🏿
♀️"
"person gesturing NO";"U+1F645";"🙅"
"person gesturing NO: light skin tone";"U+1F645 U+1F3FB";"🙅🏻"
"person gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC";"🙅🏼"
"person gesturing NO: medium skin tone";"U+1F645 U+1F3FD";"🙅🏽"
"person gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE";"🙅🏾"
"person gesturing NO: dark skin tone";"U+1F645 U+1F3FF";"🙅🏿"
"man gesturing NO";"U+1F645 U+200D U+2642 U+FE0F";"🙅
♂️"
"man gesturing NO: light skin tone";"U+1F645 U+1F3FB U+200D U+2642 U+FE0F";"🙅🏻
♂️"
"man gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC U+200D U+2642 U+FE0F";"🙅🏼
♂️"
"man gesturing NO: medium skin tone";"U+1F645 U+1F3FD U+200D U+2642 U+FE0F";"🙅🏽
♂️"
"man gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE U+200D U+2642 U+FE0F";"🙅🏾
♂️"
"man gesturing NO: dark skin tone";"U+1F645 U+1F3FF U+200D U+2642 U+FE0F";"🙅🏿
♂️"
"woman gesturing NO";"U+1F645 U+200D U+2640 U+FE0F";"🙅
♀️"
"woman gesturing NO: light skin tone";"U+1F645 U+1F3FB U+200D U+2640 U+FE0F";"🙅🏻
♀️"
"woman gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC U+200D U+2640 U+FE0F";"🙅🏼
♀️"
"woman gesturing NO: medium skin tone";"U+1F645 U+1F3FD U+200D U+2640 U+FE0F";"🙅🏽
♀️"
"woman gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE U+200D U+2640 U+FE0F";"🙅🏾
♀️"
"woman gesturing NO: dark skin tone";"U+1F645 U+1F3FF U+200D U+2640 U+FE0F";"🙅🏿
♀️"
"person gesturing OK";"U+1F646";"🙆"
"person gesturing OK: light skin tone";"U+1F646 U+1F3FB";"🙆🏻"
"person gesturing OK: medium-light skin tone";"U+1F646 U+1F3FC";"🙆🏼"
"person gesturing OK: medium skin tone";"U+1F646 U+1F3FD";"🙆🏽"
"person gesturing OK: medium-dark skin tone";"U+1F646 U+1F3FE";"🙆🏾"
"person gesturing OK: dark skin tone";"U+1F646 U+1F3FF";"🙆🏿"
"man gesturing OK";"U+1F646 U+200D U+2642 U+FE0F";"🙆
♂️"
"man gesturing OK: light skin tone";"U+1F646 U+1F3FB U+200D U+2642 U+FE0F";"🙆🏻
♂️"
"man gesturing OK: medium-light skin tone";"U+1F646 U+1F3FC U+200D U+2642 U+FE0F";"🙆🏼
♂️"
"man gesturing OK: medium skin tone";"U+1F646 U+1F3FD U+200D U+2642 U+FE0F";"🙆🏽
♂️"
"man gesturing OK: medium-dark skin tone";"U+1F646 U+1F3FE U+200D U+2642 U+FE0F";"🙆🏾
♂️"
"man gesturing OK: dark skin tone";"U+1F646 U+1F3FF U+200D U+2642 U+FE0F";"🙆🏿
♂️"
"woman gesturing OK";"U+1F646 U+200D U+2640 U+FE0F";"🙆
♀️"
"woman gesturing OK: light skin tone";"U+1F646 U+1F3FB U+200D U+2640 U+FE0F";"🙆🏻
♀️"
"woman gesturing OK: medium-light skin tone";"U+1F646 U+1F3FC U+200D U+2640 U+FE0F";"🙆🏼
♀️"
"woman gesturing OK: medium skin tone";"U+1F646 U+1F3FD U+200D U+2640 U+FE0F";"🙆🏽
♀️"
"woman gesturing OK: medium-dark skin tone";"U+1F646 U+1F3FE U+200D U+2640 U+FE0F";"🙆🏾
♀️"
"woman gesturing OK: dark skin tone";"U+1F646 U+1F3FF U+200D U+2640 U+FE0F";"🙆🏿
♀️"
"person tipping hand";"U+1F481";"💁"
"person tipping hand: light skin tone";"U+1F481 U+1F3FB";"💁🏻"
"person tipping hand: medium-light skin tone";"U+1F481 U+1F3FC";"💁🏼"
"person tipping hand: medium skin tone";"U+1F481 U+1F3FD";"💁🏽"
"person tipping hand: medium-dark skin tone";"U+1F481 U+1F3FE";"💁🏾"
"person tipping hand: dark skin tone";"U+1F481 U+1F3FF";"💁🏿"
"man tipping hand";"U+1F481 U+200D U+2642 U+FE0F";"💁
♂️"
"man tipping hand: light skin tone";"U+1F481 U+1F3FB U+200D U+2642 U+FE0F";"💁🏻
♂️"
"man tipping hand: medium-light skin tone";"U+1F481 U+1F3FC U+200D U+2642 U+FE0F";"💁🏼
♂️"
"man tipping hand: medium skin tone";"U+1F481 U+1F3FD U+200D U+2642 U+FE0F";"💁🏽
♂️"
"man tipping hand: medium-dark skin tone";"U+1F481 U+1F3FE U+200D U+2642 U+FE0F";"💁🏾
♂️"
"man tipping hand: dark skin tone";"U+1F481 U+1F3FF U+200D U+2642 U+FE0F";"💁🏿
♂️"
"woman tipping hand";"U+1F481 U+200D U+2640 U+FE0F";"💁
♀️"
"woman tipping hand: light skin tone";"U+1F481 U+1F3FB U+200D U+2640 U+FE0F";"💁🏻
♀️"
"woman tipping hand: medium-light skin tone";"U+1F481 U+1F3FC U+200D U+2640 U+FE0F";"💁🏼
♀️"
"woman tipping hand: medium skin tone";"U+1F481 U+1F3FD U+200D U+2640 U+FE0F";"💁🏽
♀️"
"woman tipping hand: medium-dark skin tone";"U+1F481 U+1F3FE U+200D U+2640 U+FE0F";"💁🏾
♀️"
"woman tipping hand: dark skin tone";"U+1F481 U+1F3FF U+200D U+2640 U+FE0F";"💁🏿
♀️"
"person raising hand";"U+1F64B";"🙋"
"person raising hand: light skin tone";"U+1F64B U+1F3FB";"🙋🏻"
"person raising hand: medium-light skin tone";"U+1F64B U+1F3FC";"🙋🏼"
"person raising hand: medium skin tone";"U+1F64B U+1F3FD";"🙋🏽"
"person raising hand: medium-dark skin tone";"U+1F64B U+1F3FE";"🙋🏾"
"person raising hand: dark skin tone";"U+1F64B U+1F3FF";"🙋🏿"
"man raising hand";"U+1F64B U+200D U+2642 U+FE0F";"🙋
♂️"
"man raising hand: light skin tone";"U+1F64B U+1F3FB U+200D U+2642 U+FE0F";"🙋🏻
♂️"
"man raising hand: medium-light skin tone";"U+1F64B U+1F3FC U+200D U+2642 U+FE0F";"🙋🏼
♂️"
"man raising hand: medium skin tone";"U+1F64B U+1F3FD U+200D U+2642 U+FE0F";"🙋🏽
♂️"
"man raising hand: medium-dark skin tone";"U+1F64B U+1F3FE U+200D U+2642 U+FE0F";"🙋🏾
♂️"
"man raising hand: dark skin tone";"U+1F64B U+1F3FF U+200D U+2642 U+FE0F";"🙋🏿
♂️"
"woman raising hand";"U+1F64B U+200D U+2640 U+FE0F";"🙋
♀️"
"woman raising hand: light skin tone";"U+1F64B U+1F3FB U+200D U+2640 U+FE0F";"🙋🏻
♀️"
"woman raising hand: medium-light skin tone";"U+1F64B U+1F3FC U+200D U+2640 U+FE0F";"🙋🏼
♀️"
"woman raising hand: medium skin tone";"U+1F64B U+1F3FD U+200D U+2640 U+FE0F";"🙋🏽
♀️"
"woman raising hand: medium-dark skin tone";"U+1F64B U+1F3FE U+200D U+2640 U+FE0F";"🙋🏾
♀️"
"woman raising hand: dark skin tone";"U+1F64B U+1F3FF U+200D U+2640 U+FE0F";"🙋🏿
♀️"
"person bowing";"U+1F647";"🙇"
"person bowing: light skin tone";"U+1F647 U+1F3FB";"🙇🏻"
"person bowing: medium-light skin tone";"U+1F647 U+1F3FC";"🙇🏼"
"person bowing: medium skin tone";"U+1F647 U+1F3FD";"🙇🏽"
"person bowing: medium-dark skin tone";"U+1F647 U+1F3FE";"🙇🏾"
"person bowing: dark skin tone";"U+1F647 U+1F3FF";"🙇🏿"
"man bowing";"U+1F647 U+200D U+2642 U+FE0F";"🙇
♂️"
"man bowing: light skin tone";"U+1F647 U+1F3FB U+200D U+2642 U+FE0F";"🙇🏻
♂️"
"man bowing: medium-light skin tone";"U+1F647 U+1F3FC U+200D U+2642 U+FE0F";"🙇🏼
♂️"
"man bowing: medium skin tone";"U+1F647 U+1F3FD U+200D U+2642 U+FE0F";"🙇🏽
♂️"
"man bowing: medium-dark skin tone";"U+1F647 U+1F3FE U+200D U+2642 U+FE0F";"🙇🏾
♂️"
"man bowing: dark skin tone";"U+1F647 U+1F3FF U+200D U+2642 U+FE0F";"🙇🏿
♂️"
"woman bowing";"U+1F647 U+200D U+2640 U+FE0F";"🙇
♀️"
"woman bowing: light skin tone";"U+1F647 U+1F3FB U+200D U+2640 U+FE0F";"🙇🏻
♀️"
"woman bowing: medium-light skin tone";"U+1F647 U+1F3FC U+200D U+2640 U+FE0F";"🙇🏼
♀️"
"woman bowing: medium skin tone";"U+1F647 U+1F3FD U+200D U+2640 U+FE0F";"🙇🏽
♀️"
"woman bowing: medium-dark skin tone";"U+1F647 U+1F3FE U+200D U+2640 U+FE0F";"🙇🏾
♀️"
"woman bowing: dark skin tone";"U+1F647 U+1F3FF U+200D U+2640 U+FE0F";"🙇🏿
♀️"
"person facepalming";"U+1F926";"🤦"
"person facepalming: light skin tone";"U+1F926 U+1F3FB";"🤦🏻"
"person facepalming: medium-light skin tone";"U+1F926 U+1F3FC";"🤦🏼"
"person facepalming: medium skin tone";"U+1F926 U+1F3FD";"🤦🏽"
"person facepalming: medium-dark skin tone";"U+1F926 U+1F3FE";"🤦🏾"
"person facepalming: dark skin tone";"U+1F926 U+1F3FF";"🤦🏿"
"man facepalming";"U+1F926 U+200D U+2642 U+FE0F";"🤦
♂️"
"man facepalming: light skin tone";"U+1F926 U+1F3FB U+200D U+2642 U+FE0F";"🤦🏻
♂️"
"man facepalming: medium-light skin tone";"U+1F926 U+1F3FC U+200D U+2642 U+FE0F";"🤦🏼
♂️"
"man facepalming: medium skin tone";"U+1F926 U+1F3FD U+200D U+2642 U+FE0F";"🤦🏽
♂️"
"man facepalming: medium-dark skin tone";"U+1F926 U+1F3FE U+200D U+2642 U+FE0F";"🤦🏾
♂️"
"man facepalming: dark skin tone";"U+1F926 U+1F3FF U+200D U+2642 U+FE0F";"🤦🏿
♂️"
"woman facepalming";"U+1F926 U+200D U+2640 U+FE0F";"🤦
♀️"
"woman facepalming: light skin tone";"U+1F926 U+1F3FB U+200D U+2640 U+FE0F";"🤦🏻
♀️"
"woman facepalming: medium-light skin tone";"U+1F926 U+1F3FC U+200D U+2640 U+FE0F";"🤦🏼
♀️"
"woman facepalming: medium skin tone";"U+1F926 U+1F3FD U+200D U+2640 U+FE0F";"🤦🏽
♀️"
"woman facepalming: medium-dark skin tone";"U+1F926 U+1F3FE U+200D U+2640 U+FE0F";"🤦🏾
♀️"
"woman facepalming: dark skin tone";"U+1F926 U+1F3FF U+200D U+2640 U+FE0F";"🤦🏿
♀️"
"person shrugging";"U+1F937";"🤷"
"person shrugging: light skin tone";"U+1F937 U+1F3FB";"🤷🏻"
"person shrugging: medium-light skin tone";"U+1F937 U+1F3FC";"🤷🏼"
"person shrugging: medium skin tone";"U+1F937 U+1F3FD";"🤷🏽"
"person shrugging: medium-dark skin tone";"U+1F937 U+1F3FE";"🤷🏾"
"person shrugging: dark skin tone";"U+1F937 U+1F3FF";"🤷🏿"
"man shrugging";"U+1F937 U+200D U+2642 U+FE0F";"🤷
♂️"
"man shrugging: light skin tone";"U+1F937 U+1F3FB U+200D U+2642 U+FE0F";"🤷🏻
♂️"
"man shrugging: medium-light skin tone";"U+1F937 U+1F3FC U+200D U+2642 U+FE0F";"🤷🏼
♂️"
"man shrugging: medium skin tone";"U+1F937 U+1F3FD U+200D U+2642 U+FE0F";"🤷🏽
♂️"
"man shrugging: medium-dark skin tone";"U+1F937 U+1F3FE U+200D U+2642 U+FE0F";"🤷🏾
♂️"
"man shrugging: dark skin tone";"U+1F937 U+1F3FF U+200D U+2642 U+FE0F";"🤷🏿
♂️"
"woman shrugging";"U+1F937 U+200D U+2640 U+FE0F";"🤷
♀️"
"woman shrugging: light skin tone";"U+1F937 U+1F3FB U+200D U+2640 U+FE0F";"🤷🏻
♀️"
"woman shrugging: medium-light skin tone";"U+1F937 U+1F3FC U+200D U+2640 U+FE0F";"🤷🏼
♀️"
"woman shrugging: medium skin tone";"U+1F937 U+1F3FD U+200D U+2640 U+FE0F";"🤷🏽
♀️"
"woman shrugging: medium-dark skin tone";"U+1F937 U+1F3FE U+200D U+2640 U+FE0F";"🤷🏾
♀️"
"woman shrugging: dark skin tone";"U+1F937 U+1F3FF U+200D U+2640 U+FE0F";"🤷🏿
♀️"
"person getting massage";"U+1F486";"💆"
"person getting massage: light skin tone";"U+1F486 U+1F3FB";"💆🏻"
"person getting massage: medium-light skin tone";"U+1F486 U+1F3FC";"💆🏼"
"person getting massage: medium skin tone";"U+1F486 U+1F3FD";"💆🏽"
"person getting massage: medium-dark skin tone";"U+1F486 U+1F3FE";"💆🏾"
"person getting massage: dark skin tone";"U+1F486 U+1F3FF";"💆🏿"
"man getting massage";"U+1F486 U+200D U+2642 U+FE0F";"💆
♂️"
"man getting massage: light skin tone";"U+1F486 U+1F3FB U+200D U+2642 U+FE0F";"💆🏻
♂️"
"man getting massage: medium-light skin tone";"U+1F486 U+1F3FC U+200D U+2642 U+FE0F";"💆🏼
♂️"
"man getting massage: medium skin tone";"U+1F486 U+1F3FD U+200D U+2642 U+FE0F";"💆🏽
♂️"
"man getting massage: medium-dark skin tone";"U+1F486 U+1F3FE U+200D U+2642 U+FE0F";"💆🏾
♂️"
"man getting massage: dark skin tone";"U+1F486 U+1F3FF U+200D U+2642 U+FE0F";"💆🏿
♂️"
"woman getting massage";"U+1F486 U+200D U+2640 U+FE0F";"💆
♀️"
"woman getting massage: light skin tone";"U+1F486 U+1F3FB U+200D U+2640 U+FE0F";"💆🏻
♀️"
"woman getting massage: medium-light skin tone";"U+1F486 U+1F3FC U+200D U+2640 U+FE0F";"💆🏼
♀️"
"woman getting massage: medium skin tone";"U+1F486 U+1F3FD U+200D U+2640 U+FE0F";"💆🏽
♀️"
"woman getting massage: medium-dark skin tone";"U+1F486 U+1F3FE U+200D U+2640 U+FE0F";"💆🏾
♀️"
"woman getting massage: dark skin tone";"U+1F486 U+1F3FF U+200D U+2640 U+FE0F";"💆🏿
♀️"
"person getting haircut";"U+1F487";"💇"
"person getting haircut: light skin tone";"U+1F487 U+1F3FB";"💇🏻"
"person getting haircut: medium-light skin tone";"U+1F487 U+1F3FC";"💇🏼"
"person getting haircut: medium skin tone";"U+1F487 U+1F3FD";"💇🏽"
"person getting haircut: medium-dark skin tone";"U+1F487 U+1F3FE";"💇🏾"
"person getting haircut: dark skin tone";"U+1F487 U+1F3FF";"💇🏿"
"man getting haircut";"U+1F487 U+200D U+2642 U+FE0F";"💇
♂️"
"man getting haircut: light skin tone";"U+1F487 U+1F3FB U+200D U+2642 U+FE0F";"💇🏻
♂️"
"man getting haircut: medium-light skin tone";"U+1F487 U+1F3FC U+200D U+2642 U+FE0F";"💇🏼
♂️"
"man getting haircut: medium skin tone";"U+1F487 U+1F3FD U+200D U+2642 U+FE0F";"💇🏽
♂️"
"man getting haircut: medium-dark skin tone";"U+1F487 U+1F3FE U+200D U+2642 U+FE0F";"💇🏾
♂️"
"man getting haircut: dark skin tone";"U+1F487 U+1F3FF U+200D U+2642 U+FE0F";"💇🏿
♂️"
"woman getting haircut";"U+1F487 U+200D U+2640 U+FE0F";"💇
♀️"
"woman getting haircut: light skin tone";"U+1F487 U+1F3FB U+200D U+2640 U+FE0F";"💇🏻
♀️"
"woman getting haircut: medium-light skin tone";"U+1F487 U+1F3FC U+200D U+2640 U+FE0F";"💇🏼
♀️"
"woman getting haircut: medium skin tone";"U+1F487 U+1F3FD U+200D U+2640 U+FE0F";"💇🏽
♀️"
"woman getting haircut: medium-dark skin tone";"U+1F487 U+1F3FE U+200D U+2640 U+FE0F";"💇🏾
♀️"
"woman getting haircut: dark skin tone";"U+1F487 U+1F3FF U+200D U+2640 U+FE0F";"💇🏿
♀️"
"person walking";"U+1F6B6";"🚶"
"person walking: light skin tone";"U+1F6B6 U+1F3FB";"🚶🏻"
"person walking: medium-light skin tone";"U+1F6B6 U+1F3FC";"🚶🏼"
"person walking: medium skin tone";"U+1F6B6 U+1F3FD";"🚶🏽"
"person walking: medium-dark skin tone";"U+1F6B6 U+1F3FE";"🚶🏾"
"person walking: dark skin tone";"U+1F6B6 U+1F3FF";"🚶🏿"
"man walking";"U+1F6B6 U+200D U+2642 U+FE0F";"🚶
♂️"
"man walking: light skin tone";"U+1F6B6 U+1F3FB U+200D U+2642 U+FE0F";"🚶🏻
♂️"
"man walking: medium-light skin tone";"U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F";"🚶🏼
♂️"
"man walking: medium skin tone";"U+1F6B6 U+1F3FD U+200D U+2642 U+FE0F";"🚶🏽
♂️"
"man walking: medium-dark skin tone";"U+1F6B6 U+1F3FE U+200D U+2642 U+FE0F";"🚶🏾
♂️"
"man walking: dark skin tone";"U+1F6B6 U+1F3FF U+200D U+2642 U+FE0F";"🚶🏿
♂️"
"woman walking";"U+1F6B6 U+200D U+2640 U+FE0F";"🚶
♀️"
"woman walking: light skin tone";"U+1F6B6 U+1F3FB U+200D U+2640 U+FE0F";"🚶🏻
♀️"
"woman walking: medium-light skin tone";"U+1F6B6 U+1F3FC U+200D U+2640 U+FE0F";"🚶🏼
♀️"
"woman walking: medium skin tone";"U+1F6B6 U+1F3FD U+200D U+2640 U+FE0F";"🚶🏽
♀️"
"woman walking: medium-dark skin tone";"U+1F6B6 U+1F3FE U+200D U+2640 U+FE0F";"🚶🏾
♀️"
"woman walking: dark skin tone";"U+1F6B6 U+1F3FF U+200D U+2640 U+FE0F";"🚶🏿
♀️"
"person running";"U+1F3C3";"🏃"
"person running: light skin tone";"U+1F3C3 U+1F3FB";"🏃🏻"
"person running: medium-light skin tone";"U+1F3C3 U+1F3FC";"🏃🏼"
"person running: medium skin tone";"U+1F3C3 U+1F3FD";"🏃🏽"
"person running: medium-dark skin tone";"U+1F3C3 U+1F3FE";"🏃🏾"
"person running: dark skin tone";"U+1F3C3 U+1F3FF";"🏃🏿"
"man running";"U+1F3C3 U+200D U+2642 U+FE0F";"🏃
♂️"
"man running: light skin tone";"U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F";"🏃🏻
♂️"
"man running: medium-light skin tone";"U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F";"🏃🏼
♂️"
"man running: medium skin tone";"U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F";"🏃🏽
♂️"
"man running: medium-dark skin tone";"U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F";"🏃🏾
♂️"
"man running: dark skin tone";"U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F";"🏃🏿
♂️"
"woman running";"U+1F3C3 U+200D U+2640 U+FE0F";"🏃
♀️"
"woman running: light skin tone";"U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F";"🏃🏻
♀️"
"woman running: medium-light skin tone";"U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F";"🏃🏼
♀️"
"woman running: medium skin tone";"U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F";"🏃🏽
♀️"
"woman running: medium-dark skin tone";"U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F";"🏃🏾
♀️"
"woman running: dark skin tone";"U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F";"🏃🏿
♀️"
"woman dancing";"U+1F483";"💃"
"woman dancing: light skin tone";"U+1F483 U+1F3FB";"💃🏻"
"woman dancing: medium-light skin tone";"U+1F483 U+1F3FC";"💃🏼"
"woman dancing: medium skin tone";"U+1F483 U+1F3FD";"💃🏽"
"woman dancing: medium-dark skin tone";"U+1F483 U+1F3FE";"💃🏾"
"woman dancing: dark skin tone";"U+1F483 U+1F3FF";"💃🏿"
"man dancing";"U+1F57A";"🕺"
"man dancing: light skin tone";"U+1F57A U+1F3FB";"🕺🏻"
"man dancing: medium-light skin tone";"U+1F57A U+1F3FC";"🕺🏼"
"man dancing: medium skin tone";"U+1F57A U+1F3FD";"🕺🏽"
"man dancing: medium-dark skin tone";"U+1F57A U+1F3FE";"🕺🏾"
"man dancing: dark skin tone";"U+1F57A U+1F3FF";"🕺🏿"
"people with bunny ears";"U+1F46F";"👯"
"men with bunny ears";"U+1F46F U+200D U+2642 U+FE0F";"👯
♂️"
"women with bunny ears";"U+1F46F U+200D U+2640 U+FE0F";"👯
♀️"
"⊛ person in steamy room";"U+1F9D6";"🧖"
"⊛ person in steamy room: light skin tone";"U+1F9D6 U+1F3FB";"🧖🏻"
"⊛ person in steamy room: medium-light skin tone";"U+1F9D6 U+1F3FC";"🧖🏼"
"⊛ person in steamy room: medium skin tone";"U+1F9D6 U+1F3FD";"🧖🏽"
"⊛ person in steamy room: medium-dark skin tone";"U+1F9D6 U+1F3FE";"🧖🏾"
"⊛ person in steamy room: dark skin tone";"U+1F9D6 U+1F3FF";"🧖🏿"
"⊛ woman in steamy room";"U+1F9D6 U+200D U+2640 U+FE0F";"🧖
♀️"
"⊛ woman in steamy room: light skin tone";"U+1F9D6 U+1F3FB U+200D U+2640 U+FE0F";"🧖🏻
♀️"
"⊛ woman in steamy room: medium-light skin tone";"U+1F9D6 U+1F3FC U+200D U+2640 U+FE0F";"🧖🏼
♀️"
"⊛ woman in steamy room: medium skin tone";"U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F";"🧖🏽
♀️"
"⊛ woman in steamy room: medium-dark skin tone";"U+1F9D6 U+1F3FE U+200D U+2640 U+FE0F";"🧖🏾
♀️"
"⊛ woman in steamy room: dark skin tone";"U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F";"🧖🏿
♀️"
"⊛ man in steamy room";"U+1F9D6 U+200D U+2642 U+FE0F";"🧖
♂️"
"⊛ man in steamy room: light skin tone";"U+1F9D6 U+1F3FB U+200D U+2642 U+FE0F";"🧖🏻
♂️"
"⊛ man in steamy room: medium-light skin tone";"U+1F9D6 U+1F3FC U+200D U+2642 U+FE0F";"🧖🏼
♂️"
"⊛ man in steamy room: medium skin tone";"U+1F9D6 U+1F3FD U+200D U+2642 U+FE0F";"🧖🏽
♂️"
"⊛ man in steamy room: medium-dark skin tone";"U+1F9D6 U+1F3FE U+200D U+2642 U+FE0F";"🧖🏾
♂️"
"⊛ man in steamy room: dark skin tone";"U+1F9D6 U+1F3FF U+200D U+2642 U+FE0F";"🧖🏿
♂️"
"⊛ person climbing";"U+1F9D7";"🧗"
"⊛ person climbing: light skin tone";"U+1F9D7 U+1F3FB";"🧗🏻"
"⊛ person climbing: medium-light skin tone";"U+1F9D7 U+1F3FC";"🧗🏼"
"⊛ person climbing: medium skin tone";"U+1F9D7 U+1F3FD";"🧗🏽"
"⊛ person climbing: medium-dark skin tone";"U+1F9D7 U+1F3FE";"🧗🏾"
"⊛ person climbing: dark skin tone";"U+1F9D7 U+1F3FF";"🧗🏿"
"⊛ woman climbing";"U+1F9D7 U+200D U+2640 U+FE0F";"🧗
♀️"
"⊛ woman climbing: light skin tone";"U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F";"🧗🏻
♀️"
"⊛ woman climbing: medium-light skin tone";"U+1F9D7 U+1F3FC U+200D U+2640 U+FE0F";"🧗🏼
♀️"
"⊛ woman climbing: medium skin tone";"U+1F9D7 U+1F3FD U+200D U+2640 U+FE0F";"🧗🏽
♀️"
"⊛ woman climbing: medium-dark skin tone";"U+1F9D7 U+1F3FE U+200D U+2640 U+FE0F";"🧗🏾
♀️"
"⊛ woman climbing: dark skin tone";"U+1F9D7 U+1F3FF U+200D U+2640 U+FE0F";"🧗🏿
♀️"
"⊛ man climbing";"U+1F9D7 U+200D U+2642 U+FE0F";"🧗
♂️"
"⊛ man climbing: light skin tone";"U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F";"🧗🏻
♂️"
"⊛ man climbing: medium-light skin tone";"U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F";"🧗🏼
♂️"
"⊛ man climbing: medium skin tone";"U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F";"🧗🏽
♂️"
"⊛ man climbing: medium-dark skin tone";"U+1F9D7 U+1F3FE U+200D U+2642 U+FE0F";"🧗🏾
♂️"
"⊛ man climbing: dark skin tone";"U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F";"🧗🏿
♂️"
"⊛ person in lotus position";"U+1F9D8";"🧘"
"⊛ person in lotus position: light skin tone";"U+1F9D8 U+1F3FB";"🧘🏻"
"⊛ person in lotus position: medium-light skin tone";"U+1F9D8 U+1F3FC";"🧘🏼"
"⊛ person in lotus position: medium skin tone";"U+1F9D8 U+1F3FD";"🧘🏽"
"⊛ person in lotus position: medium-dark skin tone";"U+1F9D8 U+1F3FE";"🧘🏾"
"⊛ person in lotus position: dark skin tone";"U+1F9D8 U+1F3FF";"🧘🏿"
"⊛ woman in lotus position";"U+1F9D8 U+200D U+2640 U+FE0F";"🧘
♀️"
"⊛ woman in lotus position: light skin tone";"U+1F9D8 U+1F3FB U+200D U+2640 U+FE0F";"🧘🏻
♀️"
"⊛ woman in lotus position: medium-light skin tone";"U+1F9D8 U+1F3FC U+200D U+2640 U+FE0F";"🧘🏼
♀️"
"⊛ woman in lotus position: medium skin tone";"U+1F9D8 U+1F3FD U+200D U+2640 U+FE0F";"🧘🏽
♀️"
"⊛ woman in lotus position: medium-dark skin tone";"U+1F9D8 U+1F3FE U+200D U+2640 U+FE0F";"🧘🏾
♀️"
"⊛ woman in lotus position: dark skin tone";"U+1F9D8 U+1F3FF U+200D U+2640 U+FE0F";"🧘🏿
♀️"
"⊛ man in lotus position";"U+1F9D8 U+200D U+2642 U+FE0F";"🧘
♂️"
"⊛ man in lotus position: light skin tone";"U+1F9D8 U+1F3FB U+200D U+2642 U+FE0F";"🧘🏻
♂️"
"⊛ man in lotus position: medium-light skin tone";"U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F";"🧘🏼
♂️"
"⊛ man in lotus position: medium skin tone";"U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F";"🧘🏽
♂️"
"⊛ man in lotus position: medium-dark skin tone";"U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F";"🧘🏾
♂️"
"⊛ man in lotus position: dark skin tone";"U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F";"🧘🏿
♂️"
"person taking bath";"U+1F6C0";"🛀"
"person taking bath: light skin tone";"U+1F6C0 U+1F3FB";"🛀🏻"
"person taking bath: medium-light skin tone";"U+1F6C0 U+1F3FC";"🛀🏼"
"person taking bath: medium skin tone";"U+1F6C0 U+1F3FD";"🛀🏽"
"person taking bath: medium-dark skin tone";"U+1F6C0 U+1F3FE";"🛀🏾"
"person taking bath: dark skin tone";"U+1F6C0 U+1F3FF";"🛀🏿"
"person in bed";"U+1F6CC";"🛌"
"person in bed: light skin tone";"U+1F6CC U+1F3FB";"🛌🏻"
"person in bed: medium-light skin tone";"U+1F6CC U+1F3FC";"🛌🏼"
"person in bed: medium skin tone";"U+1F6CC U+1F3FD";"🛌🏽"
"person in bed: medium-dark skin tone";"U+1F6CC U+1F3FE";"🛌🏾"
"person in bed: dark skin tone";"U+1F6CC U+1F3FF";"🛌🏿"
"man in suit levitating";"U+1F574";"🕴"
"man in suit levitating: light skin tone";"U+1F574 U+1F3FB";"🕴🏻"
